iTrial,plexonGoTime,Success,eyeCond,trialLocalGoTime,Stim 1 dur,Stim 2 dur,Stim 3 dur,Stim 4 dur,Stim 5 dur,Stim 1 start,Stim 2 start,Stim 3 start,Stim 4 start,Stim 5 start,Stim 1 end,Stim 2 end,Stim 3 end,Stim 4 end,Stim 5 end
1.000000,2694.387000,1.000000,2.000000,74753.131164,1.000017,1.000013,1.000010,1.000018,1.000014,74753.557214,74754.591968,74755.632460,74756.667472,74757.707724,74754.591567,74755.632047,74756.667086,74757.707378,74758.742270
2.000000,2705.424000,0.000000,1.000000,74764.161563,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2.000000,2716.205000,1.000000,1.000000,74774.934941,1.000014,1.000012,1.000013,1.000013,1.000014,74775.381548,74776.416676,74777.456926,74778.491623,74779.531630,74776.416314,74777.456529,74778.491243,74779.531234,74780.566576
3.000000,2727.049000,1.000000,3.000000,74785.779320,1.000011,1.000042,1.000017,1.000011,1.000013,74786.221480,74787.300974,74788.336418,74789.377242,74790.411943,74787.300604,74788.335700,74789.376897,74790.411593,74791.451291
4.000000,2738.708000,1.000000,3.000000,74797.427759,1.000011,1.000012,1.000027,1.000020,1.000018,74797.844888,74798.879017,74799.918612,74800.954042,74802.025362,74798.878616,74799.918237,74800.953287,74802.024968,74803.059776
5.000000,2750.239000,0.000000,2.000000,74808.956122,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
5.000000,2761.365000,1.000000,2.000000,74820.093528,1.000013,1.000012,1.000011,1.000015,1.000011,74820.544795,74821.617191,74822.656951,74823.691656,74824.731718,74821.616801,74822.656521,74823.691238,74824.731294,74825.766277
6.000000,2772.239000,1.000000,1.000000,74830.974928,1.000011,1.000014,1.000008,1.000008,1.000013,74831.428971,74832.471702,74833.506509,74834.561793,74835.596605,74832.471313,74833.506139,74834.561453,74835.596266,74836.643252
7.000000,2782.990000,1.000000,1.000000,74841.716263,1.000010,1.000010,1.000012,1.000017,1.000014,74842.154245,74843.188525,74844.228144,74845.263270,74846.340452,74843.188102,74844.227801,74845.262524,74846.340057,74847.374662
8.000000,2794.644000,1.000000,2.000000,74853.372680,1.000013,1.000018,1.000012,1.000019,1.000011,74853.822215,74854.900107,74855.935244,74856.976145,74858.010933,74854.899717,74855.934468,74856.975770,74858.010516,74859.049825
9.000000,2806.598000,1.000000,3.000000,74865.342113,1.000010,1.000009,1.000011,1.000011,1.000010,74865.763684,74866.798039,74867.838031,74868.873211,74869.948097,74866.797621,74867.837674,74868.872487,74869.947720,74870.982471
10.000000,2817.519000,1.000000,3.000000,74876.245512,1.000010,1.000013,1.000014,1.000013,1.000021,74876.696404,74877.735387,74878.769817,74879.809341,74880.843991,74877.735026,74878.769399,74879.808982,74880.843578,74881.885398
11.000000,2828.253000,1.000000,2.000000,74886.969874,1.000034,1.000014,1.000014,1.000007,1.000010,74887.417245,74888.489668,74889.534588,74890.569433,74891.609231,74888.488937,74889.534195,74890.569083,74891.608843,74892.643840
12.000000,2839.785000,1.000000,1.000000,74898.514286,1.000020,1.000015,1.000012,1.000009,1.000011,74898.969484,74900.046758,74901.081476,74902.121160,74903.156023,74900.046360,74901.081050,74902.120739,74903.155636,74904.195145
13.000000,2851.256000,1.000000,1.000000,74909.982669,1.000013,1.000020,1.000012,1.000014,1.000013,74910.404281,74911.438260,74912.477892,74913.512889,74914.552891,74911.437853,74912.477531,74913.512525,74914.552057,74915.625755
14.000000,2862.053000,1.000000,3.000000,74920.779039,1.000011,1.000018,1.000010,1.000010,1.000025,74921.219995,74922.260635,74923.295367,74924.335527,74925.370300,74922.260241,74923.294965,74924.335120,74925.369962,74926.409292
15.000000,2872.713000,1.000000,2.000000,74931.433440,1.000014,1.000011,1.000012,1.000014,1.000011,74931.874956,74932.909185,74933.949047,74934.983956,74936.023934,74932.908779,74933.948676,74934.983559,74936.023576,74937.058177
16.000000,2883.461000,1.000000,2.000000,74942.180790,1.000011,1.000011,1.000037,1.000011,1.000011,74942.622508,74943.662127,74944.735162,74945.775391,74946.848011,74943.661343,74944.734741,74945.774627,74946.847611,74947.887546
17.000000,2894.460000,0.000000,1.000000,74953.184187,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
17.000000,2905.303000,1.000000,1.000000,74964.024553,1.000012,1.000012,1.000010,1.000014,1.000013,74964.434717,74965.473704,74966.508578,74967.548180,74968.582986,74965.473288,74966.508172,74967.547839,74968.582557,74969.623973
18.000000,2917.504000,1.000000,3.000000,74976.235999,1.000013,1.000016,1.000008,1.000041,1.000012,74976.688279,74977.722726,74978.763068,74979.797910,74980.837527,74977.722344,74978.762646,74979.797572,74980.836786,74981.909769
