iTrial,plexonGoTime,Success,eyeCond,Presentation 1,Presentation 2,Presentation 3,Presentation 4,Presentation 5,Presentation 6,Presentation 7,Presentation 8,Presentation 9,Presentation 10
1.000000,6987.838000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.000000,7021.774000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.000000,7033.135000,1.000000,1.000000,0.500015,0.500013,0.500011,0.500013,0.500012,0.500014,0.500014,0.500015,0.500012,0.500013
2.000000,7044.822000,1.000000,3.000000,0.500013,0.500012,0.500012,0.500015,0.500012,0.500012,0.500014,0.500009,0.500010,0.500018
3.000000,7060.525000,1.000000,2.000000,0.500016,0.500012,0.500007,0.500038,0.500012,0.500014,0.500010,0.500013,0.500014,0.500010
4.000000,7082.345000,0.000000,2.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
4.000000,7103.529000,0.000000,2.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
4.000000,7115.653000,1.000000,2.000000,0.500017,0.500014,0.500016,0.500015,0.500015,0.500011,0.500013,0.500015,0.500017,0.500019
5.000000,7126.665000,1.000000,3.000000,0.500035,0.500017,0.500019,0.500016,0.500016,0.500016,0.500017,0.500015,0.500016,0.500014
6.000000,7138.806000,1.000000,1.000000,0.500019,0.500017,0.500020,0.500019,0.500018,0.500019,0.500018,0.500018,0.500014,0.500018
7.000000,7150.418000,1.000000,1.000000,0.500017,0.500017,0.500015,0.500019,0.500015,0.500015,0.500015,0.500015,0.500016,0.500010
8.000000,7185.183000,1.000000,2.000000,0.500014,0.500013,0.500017,0.500006,0.500009,0.500019,0.500018,0.500009,0.500009,0.500018
9.000000,7196.229000,1.000000,3.000000,0.500029,0.500008,0.500005,0.500017,0.500018,0.500018,0.500014,0.500016,0.500014,0.500015
10.000000,7207.229000,1.000000,3.000000,0.500014,0.500012,0.500015,0.500011,0.500013,0.500012,0.500015,0.500016,0.500013,0.500009
11.000000,7235.041000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
11.000000,7246.665000,1.000000,1.000000,0.500041,0.500012,0.500015,0.500013,0.500014,0.500013,0.500020,0.500012,0.500015,0.500013
12.000000,7258.997000,1.000000,2.000000,0.500013,0.500012,0.500012,0.500014,0.500012,0.500010,0.500010,0.500017,0.500016,0.500016
13.000000,7270.011000,0.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
13.000000,7282.014000,1.000000,3.000000,0.500014,0.500012,0.500013,0.500012,0.500012,0.500013,0.500018,0.500013,0.500040,0.500013
14.000000,7293.279000,1.000000,2.000000,0.500015,0.500010,0.500029,0.500014,0.500009,0.500014,0.500026,0.500010,0.500014,0.500010
15.000000,7306.419000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
15.000000,7319.247000,1.000000,1.000000,0.500010,0.500016,0.500023,0.500013,0.500013,0.500007,0.500007,0.500014,0.500010,0.500012
16.000000,7414.447000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
16.000000,7426.686000,1.000000,1.000000,0.500014,0.500008,0.500016,0.500012,0.500013,0.500012,0.500013,0.500010,0.500013,0.500010
17.000000,7438.782000,0.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
17.000000,7451.171000,1.000000,3.000000,0.500015,0.500011,0.500014,0.500012,0.500016,0.500010,0.500011,0.500014,0.500040,0.500035
18.000000,7462.312000,1.000000,2.000000,0.500014,0.500026,0.500014,0.500017,0.500014,0.500014,0.500011,0.500016,0.500013,0.500012
