ObjectMeasured,Brightness,sizeMeasured,PlexonTimestamp
1.000000,-1.000000,11.500000,-1.000000
2.000000,1.000000,24.000000,3084.730750
3.000000,1.000000,7.000000,3084.730750
4.000000,0.000000,24.000000,3195.868025
5.000000,0.000000,13.000000,3195.868025
