iTrial,plexonGoTime,Success,eyeCond,trialStartTime,Stim 1 dur,Stim 2 dur,Stim 3 dur,Stim 4 dur,Stim 5 dur,Stim 1 start,Stim 2 start,Stim 3 start,Stim 4 start,Stim 5 start,Stim 1 end,Stim 2 end,Stim 3 end,Stim 4 end,Stim 5 end
1.000000,3639.129000,1.000000,3.000000,62009.071560,1.000193,1.000010,1.000011,1.000011,1.000009,62014.619599,62015.654320,62016.693348,62017.727815,62018.766974,62015.653802,62016.692976,62017.727431,62018.766602,62019.800885
2.000000,3650.441000,1.000000,2.000000,62019.810036,1.000011,1.000013,1.000011,1.000007,1.000014,62025.903779,62026.942750,62027.977028,62029.016339,62030.050894,62026.942353,62027.976636,62029.015969,62030.050524,62031.089725
3.000000,3661.472000,1.000000,1.000000,62031.091987,1.000010,1.000011,1.000012,1.000013,1.000008,62036.943345,62037.977341,62039.016668,62040.051163,62041.090475,62037.976975,62039.016297,62040.050775,62041.090097,62042.124736
4.000000,3672.477000,1.000000,1.000000,62042.126949,1.000012,1.000012,1.000009,1.000011,1.000009,62047.938487,62048.977086,62050.011969,62051.051246,62052.085581,62048.976697,62050.011568,62051.050882,62052.085194,62053.124578
5.000000,3683.257000,1.000000,2.000000,62053.126698,1.000006,1.000011,1.000011,1.000014,1.000014,62058.728352,62059.762576,62060.802022,62061.836432,62062.875649,62059.762214,62060.801634,62061.836059,62062.875271,62063.909808
6.000000,3695.664000,1.000000,3.000000,62063.911986,1.000008,1.000011,1.000013,1.000008,1.000013,62071.116653,62072.155759,62073.190210,62074.229884,62075.264635,62072.155385,62073.189810,62074.229467,62075.264232,62076.303928
7.000000,3706.334000,0.000000,1.000000,62076.306103,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
7.000000,3717.101000,1.000000,1.000000,62086.991949,1.000011,1.000011,1.000012,1.000019,1.000018,62092.559123,62093.598211,62094.632721,62095.672029,62096.706636,62093.597842,62094.632337,62095.671642,62096.706273,62097.746273
8.000000,3729.959000,1.000000,3.000000,62097.748421,1.000009,1.000013,1.000012,1.000010,1.000012,62105.419172,62106.453647,62107.493339,62108.527753,62109.567211,62106.453286,62107.492966,62108.527346,62109.566852,62110.601391
9.000000,3742.272000,1.000000,2.000000,62110.603636,1.000018,1.000008,1.000011,1.000011,1.000008,62117.716411,62118.755728,62119.790700,62120.830291,62121.865196,62118.755330,62119.790349,62120.829919,62121.864742,62122.904615
10.000000,3753.022000,1.000000,3.000000,62122.906775,1.000013,1.000010,1.000010,1.000008,1.000019,62128.482285,62129.516810,62130.556717,62131.591704,62132.631375,62129.516382,62130.556362,62131.591351,62132.631009,62133.665722
11.000000,3764.803000,1.000000,1.000000,62133.667972,1.000009,1.000010,1.000018,1.000012,1.000006,62140.255432,62141.294656,62142.329612,62143.369431,62144.404202,62141.294289,62142.329241,62143.369063,62144.403807,62145.443680
12.000000,3776.414000,1.000000,2.000000,62145.445847,1.000009,1.000014,1.000010,1.000010,1.000009,62151.875986,62152.910389,62153.950144,62154.985264,62156.024852,62152.910037,62153.949719,62154.984872,62156.024497,62157.059239
13.000000,3787.070000,1.000000,2.000000,62157.061505,1.000010,1.000009,1.000014,1.000008,1.000018,62162.519609,62163.558603,62164.593506,62165.633325,62166.668081,62163.558226,62164.593133,62165.632922,62166.667718,62167.707369
14.000000,3797.804000,1.000000,3.000000,62167.709576,1.000009,1.000016,1.000009,1.000008,1.000008,62173.260172,62174.294355,62175.334147,62176.368879,62177.408331,62174.293922,62175.333745,62176.368470,62177.407954,62178.442600
15.000000,3809.227000,1.000000,1.000000,62178.444778,1.000008,1.000012,1.000008,1.000008,1.000007,62184.671938,62185.711017,62186.745744,62187.785185,62188.819620,62185.710648,62186.745403,62187.784796,62188.819280,62189.860763
16.000000,3820.259000,1.000000,2.000000,62189.862959,1.000009,1.000008,1.000012,1.000007,1.000009,62195.708876,62196.742671,62197.782262,62198.816693,62199.856201,62196.742311,62197.781905,62198.816304,62199.855852,62200.890339
17.000000,3831.102000,0.000000,1.000000,62200.892496,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
17.000000,3841.965000,1.000000,1.000000,62211.745814,1.000009,1.000009,1.000010,1.000008,1.000011,62217.416314,62218.450472,62219.490087,62220.524717,62221.564292,62218.450076,62219.489711,62220.524351,62221.563932,62222.598328
18.000000,3854.324000,1.000000,3.000000,62222.600518,1.000011,1.000013,1.000024,1.000011,1.000013,62229.775105,62230.814056,62231.848830,62232.888626,62233.922968,62230.813691,62231.848446,62232.888271,62233.922596,62234.962338
