iTrial,plexonGoTime,Success,trialType,trialLocalGoTime,Stim 1 dur,Stim 1 start,Stim 1 end
1.000000,-1.000000,1.000000,2.000000,177763.054039,5.020304,177763.519581,177768.539928
2.000000,-1.000000,1.000000,1.000000,177772.541456,5.024286,177773.016797,177778.041112
3.000000,-1.000000,1.000000,3.000000,177782.042727,5.023561,177782.501998,177787.525590
4.000000,-1.000000,1.000000,7.000000,177791.527213,5.023418,177792.003331,177797.026775
5.000000,-1.000000,1.000000,9.000000,177801.028259,5.022800,-1.000000,177806.511275
