iTrial,plexonGoTime,Success,trialType,eyeCond,Check Size (arcmin),trialLocalGoTime,Stim 1 dur,Stim 1 start,Stim 1 end
1.000000,-1.000000,1.000000,2.000000,2.000000,60.000000,183494.107271,5.026347,183494.592350,183499.618952
2.000000,-1.000000,1.000000,1.000000,1.000000,60.000000,183503.628521,5.023313,-1.000000,183509.111525
iTrial,plexonGoTime,Success,trialType,eyeCond,Check Size (arcmin),trialLocalGoTime,Stim 1 dur,Stim 1 start,Stim 1 end
1.000000,-1.000000,1.000000,1.000000,1.000000,60.000000,184358.654443,5.020856,184359.105253,184364.126371
2.000000,-1.000000,1.000000,3.000000,3.000000,60.000000,184368.135373,5.025567,-1.000000,184373.610472
