iTrial,plexonGoTime,Success,eyeCond,Presentation 1,Presentation 2,Presentation 3,Presentation 4,Presentation 5,Presentation 6,Presentation 7,Presentation 8,Presentation 9,Presentation 10
1.000000,2419.458000,1.000000,2.000000,0.500176,0.500008,0.500006,0.500009,0.500036,0.500009,0.500008,0.500008,0.500008,0.500020
2.000000,2431.086000,1.000000,3.000000,0.500008,0.500008,0.500006,0.500008,0.500008,0.500007,0.500013,0.500010,0.500011,0.500007
3.000000,2441.944000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
