pairCount,WhichEye,plexonGoTime,Contrast,BlinkDetected
8.000000,1.000000,3901.911000,0.300000,0.000000
9.000000,0.000000,3903.974000,0.300000,1.000000
9.000000,0.000000,3906.067000,0.300000,0.000000
9.000000,1.000000,3908.146000,0.300000,0.000000
10.000000,0.000000,3910.177000,0.300000,0.000000
10.000000,1.000000,3912.239000,0.300000,1.000000
10.000000,0.000000,3914.302000,0.300000,0.000000
10.000000,1.000000,3916.348000,0.300000,0.000000
1.000000,0.000000,4100.790000,0.600000,0.000000
1.000000,1.000000,4102.824000,0.600000,0.000000
2.000000,0.000000,4104.880000,0.600000,0.000000
2.000000,1.000000,4106.930000,0.600000,0.000000
3.000000,0.000000,4108.962000,0.600000,0.000000
3.000000,1.000000,4111.040000,0.600000,0.000000
4.000000,0.000000,4113.102000,0.600000,1.000000
4.000000,0.000000,4115.180000,0.600000,0.000000
4.000000,1.000000,4117.260000,0.600000,0.000000
5.000000,0.000000,4119.320000,0.600000,0.000000
5.000000,1.000000,4121.380000,0.600000,0.000000
6.000000,0.000000,4123.430000,0.600000,1.000000
6.000000,0.000000,4125.368000,0.600000,0.000000
6.000000,1.000000,4127.445000,0.600000,0.000000
7.000000,0.000000,4129.508000,0.600000,0.000000
7.000000,1.000000,4131.596000,0.600000,0.000000
8.000000,0.000000,4133.655000,0.600000,0.000000
8.000000,1.000000,4135.718000,0.600000,0.000000
9.000000,0.000000,4137.814000,0.600000,0.000000
9.000000,1.000000,4139.877000,0.600000,1.000000
9.000000,0.000000,4141.923000,0.600000,0.000000
9.000000,1.000000,4143.970000,0.600000,0.000000
10.000000,0.000000,4146.048000,0.600000,0.000000
10.000000,1.000000,4148.424000,0.600000,0.000000
1.000000,0.000000,4182.844000,0.600000,1.000000
1.000000,0.000000,4184.386000,0.600000,1.000000
1.000000,0.000000,4186.463000,0.600000,1.000000
1.000000,0.000000,4188.088000,0.600000,0.000000
1.000000,1.000000,4190.166000,0.600000,0.000000
2.000000,0.000000,4192.246000,0.600000,0.000000
2.000000,1.000000,4194.275000,0.600000,0.000000
3.000000,0.000000,4196.323000,0.600000,0.000000
3.000000,1.000000,4198.386000,0.600000,0.000000
4.000000,0.000000,4200.464000,0.600000,0.000000
4.000000,1.000000,4202.510000,0.600000,0.000000
5.000000,0.000000,4204.588000,0.600000,0.000000
5.000000,1.000000,4206.663000,0.600000,0.000000
6.000000,0.000000,4208.744000,0.600000,0.000000
6.000000,1.000000,4210.822000,0.600000,0.000000
7.000000,0.000000,4212.854000,0.600000,0.000000
7.000000,1.000000,4214.916000,0.600000,0.000000
8.000000,0.000000,4217.023000,0.600000,1.000000
8.000000,0.000000,4218.957000,0.600000,0.000000
8.000000,1.000000,4221.003000,0.600000,0.000000
9.000000,0.000000,4223.035000,0.600000,1.000000
9.000000,0.000000,4224.832000,0.600000,0.000000
9.000000,1.000000,4226.894000,0.600000,0.000000
10.000000,0.000000,4228.972000,0.600000,0.000000
10.000000,1.000000,4231.068000,0.600000,0.000000
1.000000,0.000000,4248.731000,0.600000,0.000000
1.000000,1.000000,4250.764000,0.600000,0.000000
2.000000,0.000000,4252.811000,0.600000,0.000000
2.000000,1.000000,4254.887000,0.600000,0.000000
3.000000,0.000000,4256.965000,0.600000,0.000000
3.000000,1.000000,4259.044000,0.600000,0.000000
4.000000,0.000000,4261.121000,0.600000,0.000000
4.000000,1.000000,4263.153000,0.600000,0.000000
5.000000,0.000000,4265.199000,0.600000,0.000000
5.000000,1.000000,4267.246000,0.600000,0.000000
6.000000,0.000000,4269.324000,0.600000,1.000000
6.000000,0.000000,4271.012000,0.600000,0.000000
6.000000,1.000000,4273.090000,0.600000,0.000000
7.000000,0.000000,4275.152000,0.600000,0.000000
7.000000,1.000000,4277.230000,0.600000,0.000000
8.000000,0.000000,4279.260000,0.600000,1.000000
8.000000,0.000000,4281.292000,0.600000,0.000000
8.000000,1.000000,4283.338000,0.600000,0.000000
9.000000,0.000000,4285.401000,0.600000,0.000000
9.000000,1.000000,4287.464000,0.600000,0.000000
10.000000,0.000000,4289.557000,0.600000,1.000000
10.000000,0.000000,4291.401000,0.600000,0.000000
10.000000,1.000000,4293.464000,0.600000,0.000000
1.000000,0.000000,4483.259000,1.800000,0.000000
1.000000,1.000000,4485.333000,1.800000,0.000000
2.000000,0.000000,4487.396000,1.800000,0.000000
2.000000,1.000000,4489.446000,1.800000,0.000000
3.000000,0.000000,4491.489000,1.800000,1.000000
3.000000,0.000000,4493.067000,1.800000,0.000000
3.000000,1.000000,4495.145000,1.800000,0.000000
4.000000,0.000000,4497.207000,1.800000,0.000000
4.000000,1.000000,4499.270000,1.800000,1.000000
4.000000,0.000000,4501.146000,1.800000,0.000000
4.000000,1.000000,4503.209000,1.800000,0.000000
5.000000,0.000000,4505.299000,1.800000,0.000000
5.000000,1.000000,4507.364000,1.800000,0.000000
6.000000,0.000000,4509.427000,1.800000,0.000000
6.000000,1.000000,4511.486000,1.800000,1.000000
6.000000,0.000000,4513.427000,1.800000,0.000000
6.000000,1.000000,4515.505000,1.800000,0.000000
7.000000,0.000000,4517.548000,1.800000,0.000000
7.000000,1.000000,4519.598000,1.800000,0.000000
8.000000,0.000000,4521.689000,1.800000,0.000000
8.000000,1.000000,4523.754000,1.800000,0.000000
9.000000,0.000000,4525.786000,1.800000,1.000000
9.000000,0.000000,4527.567000,1.800000,0.000000
9.000000,1.000000,4529.659000,1.800000,0.000000
10.000000,0.000000,4531.723000,1.800000,0.000000
10.000000,1.000000,4533.802000,1.800000,0.000000
1.000000,0.000000,4569.611000,1.800000,0.000000
1.000000,1.000000,4571.661000,1.800000,0.000000
2.000000,0.000000,4573.724000,1.800000,0.000000
2.000000,1.000000,4575.739000,1.800000,0.000000
3.000000,0.000000,4577.815000,1.800000,1.000000
3.000000,0.000000,4579.646000,1.800000,1.000000
3.000000,0.000000,4581.317000,1.800000,1.000000
3.000000,0.000000,4582.880000,1.800000,0.000000
3.000000,1.000000,4584.926000,1.800000,0.000000
4.000000,0.000000,4587.020000,1.800000,1.000000
4.000000,0.000000,4588.958000,1.800000,0.000000
4.000000,1.000000,4591.036000,1.800000,0.000000
5.000000,0.000000,4593.113000,1.800000,0.000000
5.000000,1.000000,4595.163000,1.800000,0.000000
6.000000,0.000000,4597.198000,1.800000,0.000000
6.000000,1.000000,4599.260000,1.800000,0.000000
7.000000,0.000000,4601.339000,1.800000,0.000000
7.000000,1.000000,4603.413000,1.800000,0.000000
8.000000,0.000000,4605.463000,1.800000,1.000000
8.000000,0.000000,4607.119000,1.800000,0.000000
8.000000,1.000000,4609.194000,1.800000,0.000000
9.000000,0.000000,4611.241000,1.800000,0.000000
9.000000,1.000000,4613.288000,1.800000,0.000000
10.000000,0.000000,4615.338000,1.800000,0.000000
10.000000,1.000000,4617.384000,1.800000,0.000000
1.000000,0.000000,4669.853000,1.800000,0.000000
1.000000,1.000000,4671.914000,1.800000,0.000000
2.000000,0.000000,4673.961000,1.800000,0.000000
2.000000,1.000000,4676.023000,1.800000,0.000000
3.000000,0.000000,4678.039000,1.800000,0.000000
3.000000,1.000000,4680.086000,1.800000,0.000000
4.000000,0.000000,4682.192000,1.800000,0.000000
4.000000,1.000000,4684.259000,1.800000,0.000000
5.000000,0.000000,4686.332000,1.800000,0.000000
5.000000,1.000000,4688.415000,1.800000,0.000000
6.000000,0.000000,4690.464000,1.800000,1.000000
6.000000,0.000000,4692.554000,1.800000,0.000000
6.000000,1.000000,4694.616000,1.800000,0.000000
7.000000,0.000000,4696.648000,1.800000,0.000000
7.000000,1.000000,4698.710000,1.800000,0.000000
8.000000,0.000000,4700.754000,1.800000,0.000000
8.000000,1.000000,4702.803000,1.800000,0.000000
9.000000,0.000000,4704.835000,1.800000,1.000000
9.000000,0.000000,4706.898000,1.800000,0.000000
9.000000,1.000000,4708.988000,1.800000,0.000000
10.000000,0.000000,4711.100000,1.800000,0.000000
10.000000,1.000000,4713.164000,1.800000,0.000000
1.000000,0.000000,4973.064000,Inf,1.000000
1.000000,0.000000,4975.158000,Inf,0.000000
1.000000,1.000000,4977.299000,Inf,0.000000
2.000000,0.000000,4979.392000,Inf,0.000000
2.000000,1.000000,4981.487000,Inf,0.000000
3.000000,0.000000,4983.597000,Inf,0.000000
3.000000,1.000000,4985.736000,Inf,0.000000
4.000000,0.000000,4987.876000,Inf,0.000000
4.000000,1.000000,4989.998000,Inf,0.000000
5.000000,0.000000,4992.127000,Inf,0.000000
5.000000,1.000000,4994.221000,Inf,1.000000
5.000000,0.000000,4995.768000,Inf,0.000000
5.000000,1.000000,4997.876000,Inf,0.000000
6.000000,0.000000,4999.977000,Inf,0.000000
6.000000,1.000000,5002.089000,Inf,0.000000
7.000000,0.000000,5004.246000,Inf,0.000000
7.000000,1.000000,5006.353000,Inf,0.000000
8.000000,0.000000,5008.461000,Inf,0.000000
8.000000,1.000000,5010.508000,Inf,0.000000
9.000000,0.000000,5012.638000,Inf,0.000000
9.000000,1.000000,5014.728000,Inf,0.000000
10.000000,0.000000,5016.822000,Inf,0.000000
10.000000,1.000000,5018.978000,Inf,0.000000
1.000000,0.000000,5037.091000,Inf,1.000000
1.000000,0.000000,5039.183000,Inf,0.000000
1.000000,1.000000,5041.354000,Inf,0.000000
2.000000,0.000000,5043.462000,Inf,0.000000
2.000000,1.000000,5045.558000,Inf,0.000000
3.000000,0.000000,5047.714000,Inf,0.000000
3.000000,1.000000,5049.807000,Inf,0.000000
4.000000,0.000000,5051.913000,Inf,0.000000
4.000000,1.000000,5054.010000,Inf,0.000000
5.000000,0.000000,5056.151000,Inf,0.000000
5.000000,1.000000,5058.246000,Inf,0.000000
6.000000,0.000000,5060.338000,Inf,0.000000
6.000000,1.000000,5062.448000,Inf,0.000000
