iTrial,plexonGoTime,Success,eyeCond,Presentation 1,Presentation 2,Presentation 3,Presentation 4,Presentation 5,Presentation 6,Presentation 7,Presentation 8,Presentation 9,Presentation 10
1.000000,2599.976000,1.000000,1.000000,0.500165,0.500007,0.500009,0.500019,0.500022,0.500006,0.500009,0.500010,0.500012,0.500027
2.000000,2612.054000,0.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2.000000,2622.991000,1.000000,3.000000,0.500008,0.500008,0.500011,0.500015,0.500036,0.500039,0.500011,0.500016,0.500017,0.500008
3.000000,2634.154000,1.000000,2.000000,0.500008,0.500012,0.500009,0.500008,0.500041,0.500009,0.500012,0.500009,0.500024,0.500008
4.000000,2645.213000,1.000000,2.000000,0.500019,0.500009,0.500009,0.500008,0.500015,0.500008,0.500009,0.500006,0.500008,0.500009
5.000000,2656.369000,1.000000,1.000000,0.500019,0.500008,0.500011,0.500007,0.500007,0.500007,0.500009,0.500010,0.500010,0.500013
6.000000,2667.464000,1.000000,3.000000,0.500008,0.500006,0.500006,0.500009,0.500013,0.500017,0.500008,0.500012,0.500010,0.500008
7.000000,2679.524000,1.000000,3.000000,0.500009,0.500007,0.500025,0.500011,0.500010,0.500011,0.500007,0.500010,0.500007,0.500008
8.000000,2690.555000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
8.000000,2701.665000,1.000000,1.000000,0.500008,0.500010,0.500011,0.500021,0.500015,0.500013,0.500008,0.500008,0.500017,0.500015
9.000000,2713.149000,1.000000,2.000000,0.500013,0.500012,0.500011,0.500008,0.500009,0.500009,0.500011,0.500008,0.500013,0.500008
10.000000,2727.147000,1.000000,2.000000,0.500010,0.500007,0.500013,0.500008,0.500011,0.500009,0.500007,0.500008,0.500007,0.500007
11.000000,2739.102000,1.000000,1.000000,0.500008,0.500008,0.500010,0.500006,0.500011,0.500009,0.500010,0.500008,0.500009,0.500007
12.000000,2750.227000,1.000000,3.000000,0.500008,0.500008,0.500007,0.500008,0.500008,0.500008,0.500009,0.500008,0.500009,0.500008
13.000000,2761.274000,1.000000,2.000000,0.500010,0.500008,0.500009,0.500009,0.500008,0.500005,0.500006,0.500008,0.500009,0.500010
14.000000,2772.571000,1.000000,3.000000,0.500008,0.500035,0.500008,0.500013,0.500012,0.500013,0.500007,0.500012,0.500008,0.500017
15.000000,2783.946000,1.000000,1.000000,0.500007,0.500012,0.500008,0.500007,0.500009,0.500014,0.500010,0.500008,0.500010,0.500008
16.000000,2795.198000,1.000000,1.000000,0.500011,0.500010,0.500010,0.500008,0.500015,0.500007,0.500007,0.500007,0.500006,0.500008
17.000000,2806.278000,1.000000,2.000000,0.500009,0.500006,0.500014,0.500022,0.500011,0.500009,0.500008,0.500008,0.500009,0.500010
18.000000,2817.606000,1.000000,3.000000,0.500012,0.500010,0.500008,0.500011,0.500008,0.500011,0.500006,0.500008,0.500008,0.500007
