iTrial,plexonGoTime,Success,eyeCond,trialStartTime,Stim 1 dur,Stim 2 dur,Stim 3 dur,Stim 4 dur,Stim 5 dur,Stim 1 start,Stim 2 start,Stim 3 start,Stim 4 start,Stim 5 start,Stim 1 end,Stim 2 end,Stim 3 end,Stim 4 end,Stim 5 end
1.000000,20799.713000,0.000000,1.000000,79168.466738,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.000000,20810.375000,0.000000,1.000000,79179.800878,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.000000,20822.169000,1.000000,1.000000,79190.468481,1.000019,1.000012,1.000007,1.000012,1.000012,79197.068739,79198.103400,79199.142958,79200.177830,79201.217567,79198.103047,79199.142571,79200.177481,79201.217202,79202.251737
2.000000,20833.992000,0.000000,2.000000,79202.253983,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2.000000,20845.006000,0.000000,2.000000,79214.075737,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2.000000,20856.068000,1.000000,2.000000,79225.101772,1.000008,1.000018,1.000009,1.000014,1.000009,79230.966450,79232.006023,79233.040834,79234.080729,79235.115699,79232.005650,79233.040503,79234.080362,79235.115339,79236.157207
3.000000,20866.890000,0.000000,3.000000,79236.159348,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
3.000000,20879.046000,1.000000,3.000000,79246.970808,1.000011,1.000012,1.000027,1.000008,1.000010,79253.936396,79254.976163,79256.011526,79257.051563,79258.086446,79254.975788,79256.011179,79257.051217,79258.086104,79259.126015
4.000000,20890.030000,1.000000,3.000000,79259.128207,1.000009,1.000009,1.000014,1.000010,1.000010,79264.912831,79265.947892,79266.987703,79268.022765,79269.062807,79265.947518,79266.987346,79268.022426,79269.062442,79270.097569
5.000000,20900.931000,0.000000,1.000000,79270.099828,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
5.000000,20911.775000,0.000000,1.000000,79280.989073,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
5.000000,20923.400000,1.000000,1.000000,79291.830286,1.000010,1.000010,1.000012,1.000014,1.000011,79298.270096,79299.309450,79300.344489,79301.384357,79302.419458,79299.309065,79300.344107,79301.383958,79302.419085,79303.458936
6.000000,20934.549000,1.000000,2.000000,79303.461196,1.000007,1.000010,1.000011,1.000013,1.000009,79309.395788,79310.430576,79311.470082,79312.504986,79313.545041,79310.430202,79311.469713,79312.504603,79313.544671,79314.579786
7.000000,20945.721000,1.000000,3.000000,79314.581946,1.000009,1.000008,1.000008,1.000014,1.000010,79320.588846,79321.628438,79322.663021,79323.702754,79324.737852,79321.628055,79322.662693,79323.702395,79324.737448,79325.777291
8.000000,20956.628000,1.000000,2.000000,79325.779433,1.000012,1.000011,1.000015,1.000010,1.000011,79331.480945,79332.515883,79333.556030,79334.591144,79335.631283,79332.515510,79333.555664,79334.590772,79335.630912,79336.665736
9.000000,20967.949000,1.000000,1.000000,79336.667929,1.000008,1.000011,1.000007,1.000009,1.000006,79342.798740,79343.838351,79344.873448,79345.913490,79346.948831,79343.837963,79344.873082,79345.913115,79346.948469,79347.990323
10.000000,20979.059000,1.000000,1.000000,79347.992446,1.000014,1.000009,1.000007,1.000008,1.000008,79353.914702,79354.949520,79355.989490,79357.024376,79358.064216,79354.949146,79355.989119,79357.023975,79358.063857,79359.098991
11.000000,20991.042000,1.000000,2.000000,79359.101142,1.000014,1.000014,1.000012,1.000011,1.000010,79365.896161,79366.936027,79367.971222,79369.011330,79370.046450,79366.935650,79367.970826,79369.010952,79370.046088,79371.086001
12.000000,21002.021000,1.000000,3.000000,79371.088219,1.000008,1.000012,1.000009,1.000010,1.000012,79376.853600,79377.888221,79378.928157,79379.963216,79381.003260,79377.887851,79378.927787,79379.962839,79381.002905,79382.037860
13.000000,21013.145000,1.000000,2.000000,79382.040051,1.000010,1.000013,1.000008,1.000011,1.000009,79387.989658,79389.029352,79390.064316,79391.104447,79392.139703,79389.028984,79390.063949,79391.104065,79392.139334,79393.181294
14.000000,21023.923000,1.000000,3.000000,79393.183416,1.000009,1.000008,1.000020,1.000028,1.000009,79398.760218,79399.794709,79400.834202,79401.869014,79402.910012,79399.794335,79400.833837,79401.868632,79402.909629,79403.945059
15.000000,21065.545000,0.000000,1.000000,79403.947201,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
15.000000,21076.257000,1.000000,1.000000,79445.564551,1.000011,1.000009,1.000011,1.000012,1.000012,79451.066667,79452.100973,79453.140743,79454.175518,79455.215526,79452.100593,79453.140350,79454.175155,79455.215154,79456.250114
16.000000,21087.242000,1.000000,3.000000,79456.252316,1.000013,1.000009,1.000011,1.000010,1.000009,79462.065820,79463.105392,79464.140249,79465.179867,79466.214696,79463.105017,79464.139884,79465.179479,79466.214336,79467.255894
17.000000,21098.054000,1.000000,2.000000,79467.258177,1.000008,1.000014,1.000010,1.000006,1.000010,79472.870566,79473.905009,79474.944978,79475.979872,79477.019496,79473.904611,79474.944599,79475.979499,79477.019147,79478.053836
18.000000,21108.798000,0.000000,1.000000,79478.055991,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
18.000000,21119.579000,1.000000,1.000000,79488.813155,1.000008,1.000010,1.000008,1.000008,1.000009,79494.380177,79495.414668,79496.454332,79497.489264,79498.529358,79495.414295,79496.453952,79497.488893,79498.529000,79499.563952
